closeness_pct,lookahead_candles,popup_pct,n_setups,hit_rate,avg_move_up_pct,avg_drawdown_pct
0.05,4,0.5,73,0.918,1.394,0.321
0.05,4,1.0,73,0.726,1.394,0.321
0.05,4,1.5,73,0.356,1.394,0.321
0.05,4,2.0,73,0.205,1.394,0.321
0.05,8,0.5,73,0.918,2.013,0.599
0.05,8,1.0,73,0.808,2.013,0.599
0.05,8,1.5,73,0.644,2.013,0.599
0.05,8,2.0,73,0.425,2.013,0.599
0.05,16,0.5,73,0.932,2.634,0.985
0.05,16,1.0,73,0.849,2.634,0.985
0.05,16,1.5,73,0.726,2.634,0.985
0.05,16,2.0,73,0.589,2.634,0.985
0.1,4,0.5,89,0.899,1.38,0.288
0.1,4,1.0,89,0.708,1.38,0.288
0.1,4,1.5,89,0.36,1.38,0.288
0.1,4,2.0,89,0.169,1.38,0.288
0.1,8,0.5,89,0.921,1.999,0.549
0.1,8,1.0,89,0.798,1.999,0.549
0.1,8,1.5,89,0.652,1.999,0.549
0.1,8,2.0,89,0.438,1.999,0.549
0.1,16,0.5,89,0.933,2.775,0.877
0.1,16,1.0,89,0.876,2.775,0.877
0.1,16,1.5,89,0.787,2.775,0.877
0.1,16,2.0,89,0.663,2.775,0.877
0.2,4,0.5,104,0.923,1.408,0.241
0.2,4,1.0,104,0.673,1.408,0.241
0.2,4,1.5,104,0.433,1.408,0.241
0.2,4,2.0,104,0.144,1.408,0.241
0.2,8,0.5,104,0.981,2.031,0.492
0.2,8,1.0,104,0.769,2.031,0.492
0.2,8,1.5,104,0.663,2.031,0.492
0.2,8,2.0,104,0.471,2.031,0.492
0.2,16,0.5,104,0.99,2.852,0.738
0.2,16,1.0,104,0.865,2.852,0.738
0.2,16,1.5,104,0.817,2.852,0.738
0.2,16,2.0,104,0.74,2.852,0.738
0.5,4,0.5,109,0.945,1.386,0.259
0.5,4,1.0,109,0.725,1.386,0.259
0.5,4,1.5,109,0.376,1.386,0.259
0.5,4,2.0,109,0.128,1.386,0.259
0.5,8,0.5,109,0.972,1.911,0.48
0.5,8,1.0,109,0.798,1.911,0.48
0.5,8,1.5,109,0.642,1.911,0.48
0.5,8,2.0,109,0.349,1.911,0.48
0.5,16,0.5,109,0.991,2.818,0.611
0.5,16,1.0,109,0.899,2.818,0.611
0.5,16,1.5,109,0.853,2.818,0.611
0.5,16,2.0,109,0.716,2.818,0.611
