closeness_pct,lookahead_candles,popup_pct,n_setups,hit_rate,baseline_hit_rate,edge,avg_move_up_pct,avg_drawdown_pct
0.05,4,0.5,74,0.919,0.858,0.061,1.406,0.316
0.05,4,1.0,74,0.73,0.581,0.148,1.406,0.316
0.05,4,1.5,74,0.365,0.319,0.046,1.406,0.316
0.05,4,2.0,74,0.216,0.15,0.067,1.406,0.316
0.05,8,0.5,74,0.919,0.898,0.021,2.018,0.59
0.05,8,1.0,74,0.811,0.688,0.123,2.018,0.59
0.05,8,1.5,74,0.649,0.472,0.177,2.018,0.59
0.05,8,2.0,74,0.432,0.298,0.135,2.018,0.59
0.05,16,0.5,74,0.932,0.926,0.007,2.639,0.979
0.05,16,1.0,74,0.851,0.769,0.082,2.639,0.979
0.05,16,1.5,74,0.73,0.6,0.13,2.639,0.979
0.05,16,2.0,74,0.595,0.454,0.141,2.639,0.979
0.1,4,0.5,90,0.9,0.858,0.042,1.392,0.291
0.1,4,1.0,90,0.711,0.581,0.13,1.392,0.291
0.1,4,1.5,90,0.378,0.319,0.059,1.392,0.291
0.1,4,2.0,90,0.167,0.15,0.017,1.392,0.291
0.1,8,0.5,90,0.922,0.898,0.024,2.031,0.549
0.1,8,1.0,90,0.8,0.688,0.112,2.031,0.549
0.1,8,1.5,90,0.667,0.472,0.195,2.031,0.549
0.1,8,2.0,90,0.456,0.298,0.158,2.031,0.549
0.1,16,0.5,90,0.933,0.926,0.007,2.765,0.875
0.1,16,1.0,90,0.878,0.769,0.109,2.765,0.875
0.1,16,1.5,90,0.789,0.6,0.189,2.765,0.875
0.1,16,2.0,90,0.667,0.454,0.213,2.765,0.875
0.2,4,0.5,103,0.922,0.858,0.065,1.402,0.24
0.2,4,1.0,103,0.67,0.581,0.088,1.402,0.24
0.2,4,1.5,103,0.427,0.319,0.109,1.402,0.24
0.2,4,2.0,103,0.146,0.15,-0.004,1.402,0.24
0.2,8,0.5,103,0.981,0.898,0.082,2.039,0.494
0.2,8,1.0,103,0.767,0.688,0.079,2.039,0.494
0.2,8,1.5,103,0.67,0.472,0.198,2.039,0.494
0.2,8,2.0,103,0.476,0.298,0.178,2.039,0.494
0.2,16,0.5,103,0.99,0.926,0.064,2.832,0.745
0.2,16,1.0,103,0.864,0.769,0.095,2.832,0.745
0.2,16,1.5,103,0.816,0.6,0.216,2.832,0.745
0.2,16,2.0,103,0.738,0.454,0.284,2.832,0.745
0.5,4,0.5,109,0.945,0.858,0.087,1.391,0.26
0.5,4,1.0,109,0.725,0.581,0.143,1.391,0.26
0.5,4,1.5,109,0.367,0.319,0.048,1.391,0.26
0.5,4,2.0,109,0.128,0.15,-0.021,1.391,0.26
0.5,8,0.5,109,0.972,0.898,0.074,1.92,0.466
0.5,8,1.0,109,0.798,0.688,0.11,1.92,0.466
0.5,8,1.5,109,0.633,0.472,0.161,1.92,0.466
0.5,8,2.0,109,0.358,0.298,0.06,1.92,0.466
0.5,16,0.5,109,0.991,0.926,0.065,2.86,0.59
0.5,16,1.0,109,0.899,0.769,0.13,2.86,0.59
0.5,16,1.5,109,0.853,0.6,0.253,2.86,0.59
0.5,16,2.0,109,0.734,0.454,0.28,2.86,0.59
