closeness_atr_mult,lookahead_candles,popup_atr_mult,atr_value,n_setups,hit_rate,baseline_hit_rate,edge,avg_move_up_pct,avg_drawdown_pct
0.5,4,1.0,4.822857,113,0.708,0.628,0.08,1.451,0.253
0.5,4,2.0,4.822857,113,0.354,0.242,0.112,1.451,0.253
0.5,4,3.0,4.822857,113,0.115,0.078,0.037,1.451,0.253
0.5,4,4.0,4.822857,113,0.027,0.02,0.006,1.451,0.253
0.5,8,1.0,4.822857,113,0.814,0.723,0.091,2.008,0.423
0.5,8,2.0,4.822857,113,0.522,0.375,0.147,2.008,0.423
0.5,8,3.0,4.822857,113,0.319,0.172,0.147,2.008,0.423
0.5,8,4.0,4.822857,113,0.106,0.071,0.035,2.008,0.423
0.5,16,1.0,4.822857,113,0.903,0.796,0.107,2.913,0.576
0.5,16,2.0,4.822857,113,0.752,0.515,0.237,2.913,0.576
0.5,16,3.0,4.822857,113,0.593,0.303,0.29,2.913,0.576
0.5,16,4.0,4.822857,113,0.363,0.169,0.194,2.913,0.576
1.0,4,1.0,4.822857,126,0.667,0.628,0.039,1.217,0.339
1.0,4,2.0,4.822857,126,0.262,0.242,0.02,1.217,0.339
1.0,4,3.0,4.822857,126,0.048,0.078,-0.03,1.217,0.339
1.0,4,4.0,4.822857,126,0.008,0.02,-0.012,1.217,0.339
1.0,8,1.0,4.822857,126,0.778,0.723,0.054,1.704,0.469
1.0,8,2.0,4.822857,126,0.476,0.375,0.101,1.704,0.469
1.0,8,3.0,4.822857,126,0.167,0.172,-0.005,1.704,0.469
1.0,8,4.0,4.822857,126,0.063,0.071,-0.008,1.704,0.469
1.0,16,1.0,4.822857,126,0.905,0.796,0.109,2.733,0.616
1.0,16,2.0,4.822857,126,0.714,0.515,0.199,2.733,0.616
1.0,16,3.0,4.822857,126,0.556,0.303,0.252,2.733,0.616
1.0,16,4.0,4.822857,126,0.317,0.169,0.148,2.733,0.616
1.5,4,1.0,4.822857,129,0.512,0.628,-0.116,1.064,0.512
1.5,4,2.0,4.822857,129,0.155,0.242,-0.087,1.064,0.512
1.5,4,3.0,4.822857,129,0.078,0.078,-0.0,1.064,0.512
1.5,4,4.0,4.822857,129,0.008,0.02,-0.013,1.064,0.512
1.5,8,1.0,4.822857,129,0.674,0.723,-0.049,1.481,0.673
1.5,8,2.0,4.822857,129,0.279,0.375,-0.096,1.481,0.673
1.5,8,3.0,4.822857,129,0.163,0.172,-0.009,1.481,0.673
1.5,8,4.0,4.822857,129,0.085,0.071,0.014,1.481,0.673
1.5,16,1.0,4.822857,129,0.86,0.796,0.065,2.362,0.84
1.5,16,2.0,4.822857,129,0.643,0.515,0.128,2.362,0.84
1.5,16,3.0,4.822857,129,0.434,0.303,0.131,2.362,0.84
1.5,16,4.0,4.822857,129,0.186,0.169,0.017,2.362,0.84
2.0,4,1.0,4.822857,138,0.543,0.628,-0.084,0.981,0.604
2.0,4,2.0,4.822857,138,0.116,0.242,-0.126,0.981,0.604
2.0,4,3.0,4.822857,138,0.029,0.078,-0.049,0.981,0.604
2.0,4,4.0,4.822857,138,0.007,0.02,-0.013,0.981,0.604
2.0,8,1.0,4.822857,138,0.652,0.723,-0.071,1.286,0.891
2.0,8,2.0,4.822857,138,0.239,0.375,-0.136,1.286,0.891
2.0,8,3.0,4.822857,138,0.109,0.172,-0.063,1.286,0.891
2.0,8,4.0,4.822857,138,0.051,0.071,-0.02,1.286,0.891
2.0,16,1.0,4.822857,138,0.826,0.796,0.03,2.09,1.109
2.0,16,2.0,4.822857,138,0.543,0.515,0.028,2.09,1.109
2.0,16,3.0,4.822857,138,0.326,0.303,0.023,2.09,1.109
2.0,16,4.0,4.822857,138,0.138,0.169,-0.032,2.09,1.109
