symbol,closeness_atr_mult,lookahead,popup_atr_mult,n_setups,hit_rate,baseline_hit_rate,edge
R_75,1.0,16,3.0,73.0,0.411,0.332,0.079
R_75,1.5,16,3.0,79.0,0.304,0.332,-0.028
R_75,1.0,16,2.0,73.0,0.63,0.548,0.082
R_50,1.0,16,3.0,47.0,0.532,0.345,0.187
R_50,1.5,16,3.0,47.0,0.489,0.345,0.145
R_50,1.0,16,2.0,47.0,0.723,0.567,0.157
R_25,1.0,16,3.0,36.0,0.583,0.345,0.238
R_25,1.5,16,3.0,39.0,0.462,0.345,0.116
R_25,1.0,16,2.0,36.0,0.806,0.564,0.241
CRASH500,1.0,16,3.0,68.0,0.559,0.418,0.141
CRASH500,1.5,16,3.0,71.0,0.521,0.418,0.103
CRASH500,1.0,16,2.0,68.0,0.824,0.626,0.198
BOOM500,1.0,16,3.0,65.0,0.523,0.41,0.113
BOOM500,1.5,16,3.0,66.0,0.561,0.41,0.15
BOOM500,1.0,16,2.0,65.0,0.615,0.584,0.032
