symbol,closeness_pct,lookahead,popup_pct,n_setups,hit_rate,baseline_hit_rate,edge
R_75,0.2,16,2.0,55.0,0.418,0.311,0.107
R_75,0.5,16,1.5,67.0,0.552,0.477,0.075
R_75,0.2,16,1.5,55.0,0.673,0.477,0.196
R_50,0.2,16,2.0,46.0,0.196,0.106,0.09
R_50,0.5,16,1.5,47.0,0.319,0.234,0.085
R_50,0.2,16,1.5,46.0,0.457,0.234,0.222
R_25,0.2,16,2.0,36.0,0.0,0.0,0.0
R_25,0.5,16,1.5,39.0,0.0,0.006,-0.006
R_25,0.2,16,1.5,36.0,0.0,0.006,-0.006
CRASH500,0.2,16,2.0,70.0,0.0,0.001,-0.001
CRASH500,0.5,16,1.5,79.0,0.0,0.019,-0.019
CRASH500,0.2,16,1.5,70.0,0.0,0.019,-0.019
BOOM500,0.2,16,2.0,65.0,0.0,0.005,-0.005
BOOM500,0.5,16,1.5,71.0,0.014,0.036,-0.022
BOOM500,0.2,16,1.5,65.0,0.062,0.036,0.025
